modality,label,n_voxels,n_sensors,n_outputs,n_sources,n_singular_values,bandwidth_hz,output_amplitude,output_noise,output_snr,noise_model_type,noise_covariance_model,noise_correlation_length_mm,noise_correlation_kernel,johnson_electrode_area_cm2,johnson_lmax,johnson_bandwidth_hz,johnson_noise_diagonal,total_input_power,bitrate_bits_per_s,channel_capacity_bits_per_s,frequency_hz,source_spacing_mm,grid_resolution_mm,spectrum_estimate_method,spectrum_reference_num_sensors,spectrum_reference_path,spectrum_reference_hash,spectrum_reference_singular_value_count,spectrum_scale_factor,path
eeg_openmeeg,EEG OpenMEEG,14355,512,512,43065,512,100.0,5e-06,1.1002591400300422e-07,45.44383971092008,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05637002518665535,29086.956821215743,83458.52114598468,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/ff529d12.npz
eeg_openmeeg,EEG OpenMEEG,18,1024,1024,54,54,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06384990767681419,15833.592934917944,16169.978242410687,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/2e0e76f3.npz
eeg_openmeeg,EEG OpenMEEG,43,1024,1024,129,129,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06051897390391819,22882.65806423767,25337.922260244137,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/f92c1ab1.npz
eeg_openmeeg,EEG OpenMEEG,148,1024,1024,444,444,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05562372301312044,29401.134960319723,39265.74632219362,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/ff96ba5f.npz
eeg_openmeeg,EEG OpenMEEG,302,1024,1024,906,906,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05847162781531952,27507.06187876248,42894.77489152142,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/aa72df5e.npz
eeg_openmeeg,EEG OpenMEEG,984,1024,1024,2952,1024,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05713298696610444,28099.741449864512,54448.76383057849,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/7aca4077.npz
eeg_openmeeg,EEG OpenMEEG,1842,1024,1024,5526,1024,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05767974089260504,27538.918419401733,59845.41455724004,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/9c2e73c4.npz
eeg_openmeeg,EEG OpenMEEG,4347,1024,1024,13041,1024,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056755893424807004,27872.593688908302,69357.20329802661,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/0afdf2e8.npz
eeg_openmeeg,EEG OpenMEEG,7347,1024,1024,22041,1024,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056978358022349095,27426.110251909187,74179.73920481863,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/7bc13223.npz
eeg_openmeeg,EEG OpenMEEG,14355,1024,1024,43065,1024,100.0,5e-06,1.3084359976705015e-07,38.213561908277086,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05650503487660382,27728.610294887938,82111.2002237571,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/4eabf7d0.npz
eeg_openmeeg,EEG OpenMEEG,18,2048,2048,54,54,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06316853351418664,15162.75757949123,15512.334042903443,,40.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/410ada19.npz
eeg_openmeeg,EEG OpenMEEG,43,2048,2048,129,129,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.06028577560385619,22102.730392967096,24548.735390856127,,30.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/f345aa31.npz
eeg_openmeeg,EEG OpenMEEG,148,2048,2048,444,444,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.055617519047099856,28576.848228615774,38417.950650510626,,20.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/6683b46e.npz
eeg_openmeeg,EEG OpenMEEG,302,2048,2048,906,906,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.058632056063422026,26721.044069099622,42136.822773641,,15.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/fca124e4.npz
eeg_openmeeg,EEG OpenMEEG,984,2048,2048,2952,2048,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.057241370800339114,27303.13496881266,53845.202348443316,,10.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/4de6dd14.npz
eeg_openmeeg,EEG OpenMEEG,1842,2048,2048,5526,2048,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05771050169445502,26744.334810591114,59330.273394540665,,8.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/cf797dc0.npz
eeg_openmeeg,EEG OpenMEEG,4347,2048,2048,13041,2048,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05683616710555453,27074.893273327853,68985.00813333131,,6.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/5c187df3.npz
eeg_openmeeg,EEG OpenMEEG,7347,2048,2048,22041,2048,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.056833406678536626,26606.317446973422,73823.35658786549,,5.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/52f0f512.npz
eeg_openmeeg,EEG OpenMEEG,14355,2048,2048,43065,2048,100.0,5e-06,1.5560013979554437e-07,32.133647222746106,spatial_covariance,johnson_volume,,johnson_volume,1.0,2000,100.0,eeg_openmeeg_scalar_noise_std,0.05654023478345923,26927.639628035835,81872.54449396221,,4.0,20.0,,,,,,,results/variants/eeg_openmeeg_johnson_volume_covariance_20260601_margin5mm/daa3c75a.npz
